,Dataset,Size,p,alpha,IARCBS_solution,IARCBS_time,DL-IARCBS_solution,DL-IARCBS_time,CPLEX_solution,CPLEX_time
0,AP,200,4,0.3,630457.6328,87740.3751,608796.1477,39761.4271,3164325.476,88740.1091
1,AP,200,4,0.4,820179.1881,87847.837,647549.0886,87656.717,787996.7564,88286.422
2,AP,200,4,0.5,695170.6696,87360.1507,682471.4536,24221.6334,673358.6899,86943.2318
3,AP,200,4,0.6,725505.0976,87526.6295,717295.5663,87672.672,883765.9166,87244.0865
4,AP,200,4,0.7,755839.5256,87442.1539,752850.1753,87625.6241,904391.4619,87207.9252
5,AP,200,5,0.3,¡ª¡ª,91495.047,570606.8389,89307.2057,624910.2937,87706.1061
6,AP,200,5,0.4,3064866.288,87306.4131,610129.3783,87735.9358,612533.7137,87610.364
7,AP,200,5,0.5,658094.6931,87182.8977,648280.5026,87174.4163,1122398.365,86746.6688
8,AP,200,5,0.6,691018.7008,87176.0988,686102.4658,87248.742,688194.9867,86937.4668
9,AP,200,5,0.7,723497.5079,87166.569,722101.7869,87534.1116,919591.7481,87109.405
10,AP,200,10,0.3,491186.954,89631.8816,462420.6775,88904.9274,499442.2411,87438.0604
11,AP,200,10,0.4,504047.7326,88928.1678,505785.1065,89120.2123,3185893.533,88357.7448
12,AP,200,10,0.5,552147.5942,87137.9994,548797.7971,87278.0176,555594.4053,87137.718
13,AP,200,10,0.6,598929.631,87211.5961,588812.186,87110.708,624693.6765,87088.9807
14,AP,200,10,0.7,648444.3001,87094.3307,628187.0766,87536.5654,888631.5738,87405.0919
